申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,備註欄,行政區代碼,代表段號,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,地建號範圍,行政區,地段
買賣,建物,,1,,,,,N,住宅大樓(11F含以上有電梯),450000,,,,N,1080917,,1,5,,,,,29.14,,鋼筋混凝土造,12,700114,39,七層,,,府北路31~60號,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,,,,N,店面(店鋪),150000,,,,Y,1080919,,1,5,2.96,商,,,14.94,,鋼筋混凝土造,5,701020,38,一層,,,鹽埕街140巷1~30號,鹽埕區,府北段五小段
買賣,房地(土地+建物),2,2,,1,0,1,Y,套房(1房(1廳)1衛),2600000,,,,Y,1080903,,1,5,5.11,其他,,,65.48,,鋼筋混凝土造,12,701124,38,七層,,,府北路1~30號,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,,,,N,透天厝,6600000,,,,N,1080918,,1,37,54,商,,,133.08,住家用,加強磚造,3,600211,49,一層;二層;三層,,,莒光街162巷1~30號,鹽埕區,鹽新段
買賣,房地(土地+建物),3,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),1950000,,,,Y,1080817,,1,5,4.73,商,,,46.65,,鋼筋混凝土造,12,681218,40,六層,,,府北路1~30號,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,1,1,1,Y,套房(1房(1廳)1衛),1300000,,,,Y,1080908,,1,5,2.69,其他,,,30.71,,鋼筋混凝土造,12,701124,38,四層,,,府北路1~30號,鹽埕區,府北段五小段
買賣,房地(土地+建物),2,2,,1,1,1,Y,套房(1房(1廳)1衛),2420000,,,,Y,1080908,,1,5,4.71,其他,,,60.36,,鋼筋混凝土造,12,701124,38,七層,,,府北路1~30號,鹽埕區,府北段五小段
買賣,建物,,1,,1,0,1,Y,住宅大樓(11F含以上有電梯),250000,,250000,,Y,1080928,,1,41,,,,,25.03,,鋼筋混凝土造,16,750217,34,八層,,,北斗街1~30號,鹽埕區,鹽壽段
買賣,房地(土地+建物),1,1,,2,1,1,Y,住宅大樓(11F含以上有電梯),1200000,,,,Y,1080721,,1,5,4.84,商,,,57.43,,鋼筋混凝土造,12,701124,38,一層;二層,,,府北路1~30號,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,2,1,1,Y,住宅大樓(11F含以上有電梯),1200000,,,,Y,1080721,,1,5,4.84,商,,,64.22,,鋼筋混凝土造,12,701124,38,一層;二層,,,府北路1~30號,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,2,1,1,Y,住宅大樓(11F含以上有電梯),2600000,,,,Y,1080624,,1,5,6.56,商,,,74.77,,鋼筋混凝土造,12,701124,38,一層;二層,,,府北路21巷1~30號,鹽埕區,府北段五小段
買賣,土地,1,,,,,,Y,,542000,542000,,,N,1081005,,1,39,7.25,商,,,,,,,,,,,,鹽中段91~120地號,鹽埕區,鹽中段
買賣,建物,,1,,1,1,1,Y,套房(1房(1廳)1衛),520000,,,,Y,1080925,,1,41,,,,,37.37,,鋼筋混凝土造,16,750217,34,十四層,,,七賢三路241~270號,鹽埕區,鹽壽段
買賣,建物,,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),400000,,400000,,N,1081001,,1,41,,,,,38.51,,鋼筋混凝土造,16,750217,34,十四層,,,七賢三路241~270號,鹽埕區,鹽壽段
買賣,房地(土地+建物),1,1,,3,2,2,Y,華廈(10F含以下有電梯),3300000,,,,Y,1080924,,1,41,10.95,商,,,97.05,住家用,鋼筋混凝土造,10,830722,25,二層,,,新興街241~270號,鹽埕區,鹽壽段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),1200000,,,,N,1080927,,1,37,3.26,商,,,34.61,,鋼筋混凝土造,12,720523,36,十一層,,,莒光街211~240號,鹽埕區,鹽新段
買賣,建物,,1,,,,,N,住宅大樓(11F含以上有電梯),300000,,300000,,Y,1081001,,1,41,,,,,25.05,,鋼筋混凝土造,16,750217,34,七層,,,北斗街1~30號,鹽埕區,鹽壽段
買賣,房地(土地+建物),3,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),1550000,,,,Y,1081002,,1,30,3.19,商,,,24.51,,鋼筋混凝土造,12,711210,37,五層,,,五福四路241~270號,鹽埕區,興福段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),1100000,,,,N,1081007,,1,5,2.78,商,,,32.26,,鋼筋混凝土造,12,690618,39,九層,,,府北路31~60號,鹽埕區,府北段五小段
買賣,房地(土地+建物),2,1,,4,3,3,Y,透天厝,6600000,,,,N,1080906,,1,33,54,商,,,116.4,,加強磚造,3,631224,45,一層;二層;三層,,,必忠街168巷1~30號,鹽埕區,大勇段
買賣,房地(土地+建物),1,1,,1,1,1,Y,套房(1房(1廳)1衛),1500000,,,,Y,1081004,,1,5,3.63,其他,,,51.75,,鋼筋混凝土造,12,701124,38,十二層,,,府北路1~30號,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,1,0,1,Y,住宅大樓(11F含以上有電梯),1250000,,,,Y,1080719,,1,5,2.58,商,,,29.7,,鋼筋混凝土造,12,690618,39,十層,,,府北路31~60號,鹽埕區,府北段五小段
買賣,房地(土地+建物),2,1,,,,,N,華廈(10F含以下有電梯),4430000,,,,Y,1080919,,1,30,7.92,商,,,51.75,,鋼筋混凝土造,8,701110,38,一層;騎樓,,,新興街31~60號,鹽埕區,興福段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),2450000,,,,Y,1081002,,1,5,4.98,商,,,57.43,,鋼筋混凝土造,12,701124,38,一層;二層,,,府北路1~30號,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,3,2,2,Y,透天厝,4060000,,,,N,1081021,,1,39,70,商,,,104.27,住家用,木造,2,330205,76,一層;二層,,,大仁路156巷1~30號,鹽埕區,鹽中段
買賣,房地(土地+建物),3,1,,4,4,3,Y,透天厝,4680000,,,,N,1081023,,1,42,33,住,,,142.52,,鋼筋混凝土造,5,710519,37,一層;二層;三層;四層;五層;騎樓,,,北端街1~30號,鹽埕區,鹽北段
買賣,房地(土地+建物),2,1,,3,2,2,Y,透天厝,3300000,,,,N,1081022,,1,41,48,商,,,77.14,,加強磚造,2,480213,61,一層;二層,,,壽星街17巷1~30號,鹽埕區,鹽壽段
買賣,房地(土地+建物),1,1,,2,2,1,Y,住宅大樓(11F含以上有電梯),5100000,,,,Y,1081009,,1,5,7.94,商,,,77.34,見其它登記事項,見其它登記事項,15,1071107,1,十一層,,,七賢二路421~450號,鹽埕區,府北段五小段
買賣,房地(土地+建物)+車位,1,2,1,5,2,3,Y,住宅大樓(11F含以上有電梯),9000000,,,,N,1080927,,1,31,22.66,商,,,301.48,住家用,鋼筋混凝土造,12,790608,29,六層,0,0,五福四路271~300號,鹽埕區,興橋段
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,Y,住宅大樓(11F含以上有電梯),13000000,6600000,6400000,,Y,1081022,,1,29,15.95,商,,,190.8,見其它登記事項,見其它登記事項,15,1070830,1,六層,0,0,建國四路151~180號,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,Y,住宅大樓(11F含以上有電梯),15450000,8030000,7420000,,Y,1081022,,1,29,17.44,商,,,208.85,見其它登記事項,見其它登記事項,15,1070830,1,十五層,0,0,建國四路151~180號,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,Y,住宅大樓(11F含以上有電梯),15380000,8000000,7380000,,Y,1081022,,1,29,18.01,商,,,215.41,見其它登記事項,見其它登記事項,15,1070830,1,八層,0,0,建國四路151~180號,鹽埕區,興仁段
買賣,房地(土地+建物),2,1,,,,,N,透天厝,20000000,,,,N,1081022,,1,31,156,商,,,160.44,住商用,磚造,2,300610,78,一層;二層;騎樓,,,建國四路211~240號,鹽埕區,興橋段
買賣,房地(土地+建物),1,1,,1,1,1,Y,套房(1房(1廳)1衛),2000000,,,,Y,1081021,,1,5,3.4,商,,,42.04,,鋼筋混凝土造,12,710226,38,七層,,,河西路91~120號,鹽埕區,府北段五小段
買賣,建物,,1,,1,1,1,Y,套房(1房(1廳)1衛),1000000,,,,Y,1080927,,1,41,,,,,36.64,,鋼筋混凝土造,16,750217,34,十層,,,七賢三路241~270號,鹽埕區,鹽壽段
買賣,房地(土地+建物),1,1,,3,2,2,Y,公寓(5F含以下無電梯),3800000,,,,N,1080920,,1,31,31.6,住,,,115.96,,鋼筋混凝土造,5,760121,33,三層,,,安石街7巷13弄1~30號,鹽埕區,興橋段
買賣,房地(土地+建物),1,1,,1,1,1,Y,套房(1房(1廳)1衛),1690000,,,,Y,1081014,,1,5,3.9,其他,,,45.61,,鋼筋混凝土造,12,701124,38,四層,,,府北路1~30號,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,2,1,1,Y,住宅大樓(11F含以上有電梯),650000,,,,Y,1080624,,1,5,1.64,商,,,18.69,,鋼筋混凝土造,12,701124,38,一層;二層,,,府北路21巷1~30號,鹽埕區,府北段五小段
買賣,建物,,1,,1,0,1,Y,套房(1房(1廳)1衛),1000000,,,,Y,1081002,,1,41,,,,,39.4,,鋼筋混凝土造,16,750217,34,十三層,,,七賢三路241~270號,鹽埕區,鹽壽段
買賣,土地,1,,,,,,Y,,3267000,,,,N,1081018,,1,39,36,商,,,,,,,,,,,,鹽中段151~180地號,鹽埕區,鹽中段
買賣,土地,1,,,,,,Y,,3530000,3530000,,,N,1081028,,1,39,36,商,,,,,,,,,,,,鹽中段151~180地號,鹽埕區,鹽中段
買賣,房地(土地+建物),1,1,,3,2,2,Y,公寓(5F含以下無電梯),2750000,,,,N,1080924,,1,31,22.22,住,,,112.8,,鋼筋混凝土造,5,721231,36,五層,,,田單街1~30號,鹽埕區,興橋段
買賣,建物,,1,,1,1,1,Y,套房(1房(1廳)1衛),1000000,,1000000,,Y,1081008,,1,41,,,,,38.51,,鋼筋混凝土造,16,750217,34,十五層,,,七賢三路241~270號,鹽埕區,鹽壽段
買賣,土地,2,,,,,,Y,,2500000,,,,N,1080924,,1,29,55,商,,,,,,,,,,,,興仁段121~150地號,鹽埕區,興仁段
買賣,建物,,1,,1,1,1,Y,套房(1房(1廳)1衛),680000,,,,Y,1081004,,1,41,,,,,37.37,,鋼筋混凝土造,16,750217,34,十六層,,,七賢三路241~270號,鹽埕區,鹽壽段
買賣,房地(土地+建物),6,1,,3,1,1,Y,公寓(5F含以下無電梯),1450000,,,,N,1081018,,1,42,59.61,住,,,70.12,,鋼筋混凝土造,4,650519,43,三層,,,北端街7巷121~150號,鹽埕區,鹽北段
買賣,房地(土地+建物),1,1,,3,1,2,Y,住宅大樓(11F含以上有電梯),5200000,,,,N,1081010,,1,40,11.23,商,,,127.26,住家用,鋼筋混凝土造,14,871116,21,三層,,,七賢三路241~270號,鹽埕區,鹽府段
買賣,房地(土地+建物),2,1,,3,2,3,Y,店面(店鋪),6000000,,,,N,1081024,,1,41,49,商,,,148.87,住商用,鋼筋混凝土造,4,600818,48,一層;二層;三層;四層;騎樓,,,新興街301~330號,鹽埕區,鹽壽段
買賣,房地(土地+建物),3,2,,2,2,2,Y,住宅大樓(11F含以上有電梯),2150000,,,,Y,1081101,,1,30,8.03,商,,,60.32,,鋼筋混凝土造,12,711210,37,七層,,,五福四路241~270號,鹽埕區,興福段
買賣,房地(土地+建物),4,1,,10,1,5,Y,透天厝,22000000,,,,N,1081008,,1,39,89,住,,,312.46,,鋼筋混凝土造,5,751209,33,一層;二層;三層;四層;五層;騎樓;地下層,,,富野路61~90號,鹽埕區,鹽中段
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,Y,店面(店鋪),9200000,3900000,5300000,,Y,1080920,,1,42,14.46,商,,,169.8,住商用,鋼筋混凝土造,14,871027,21,一層;二層;騎樓;夾層,0,24.76,建國四路361~390號,鹽埕區,鹽北段
買賣,房地(土地+建物),1,1,,1,0,1,Y,套房(1房(1廳)1衛),900000,,,,Y,1081023,,1,5,2.42,商,,,30.16,,鋼筋混凝土造,12,701124,38,八層,,,府北路1~30號,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,1,1,1,Y,套房(1房(1廳)1衛),760000,,,,Y,1081110,,1,5,3.08,商,,,35.67,,鋼筋混凝土造,12,690618,39,十一層,,,府北路31~60號,鹽埕區,府北段五小段
買賣,房地(土地+建物),2,1,,4,1,3,Y,透天厝,2090760,,,,N,1081112,,1,33,31.2,商,,,114.67,,鋼筋混凝土造,4,670404,42,一層;二層;三層;四層;騎樓;地下層,,,必忠街211~240號,鹽埕區,大勇段
買賣,房地(土地+建物),5,1,,3,2,2,Y,公寓(5F含以下無電梯),3200000,,,,N,1081031,,1,42,52.54,住,,,63.8,,鋼筋混凝土造,4,650519,43,一層,,,北端街7巷31~60號,鹽埕區,鹽北段
買賣,建物,,1,,1,1,1,Y,套房(1房(1廳)1衛),1060000,,,,Y,1081016,,1,41,,,,,90.32,,鋼筋混凝土造,16,750217,34,十層,,,七賢三路241~270號,鹽埕區,鹽壽段
買賣,房地(土地+建物)+車位,1,1,1,4,2,2,Y,住宅大樓(11F含以上有電梯),8500000,,,,Y,1081013,,1,35,32.8,住,,,214.04,住家用,鋼筋混凝土造,14,810717,27,七層,0,0,必忠街31~60號,鹽埕區,大成段
買賣,房地(土地+建物),1,1,,1,1,1,Y,華廈(10F含以下有電梯),820000,,,,Y,1081108,,1,5,3.91,商,,,23.54,,鋼筋混凝土造,10,680831,40,十層,,,府北路31~60號,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,2,2,1,Y,住宅大樓(11F含以上有電梯),6000000,,,,Y,1081101,,1,30,8.92,商,,,81.33,住家用,鋼筋混凝土造,14,951205,13,三層,,,七賢三路1~30號,鹽埕區,興福段
買賣,房地(土地+建物),1,1,,3,2,2,Y,公寓(5F含以下無電梯),2150000,,,,N,1081119,,1,31,25.95,住,,,81.75,,鋼筋混凝土造,5,680811,40,五層,,,田單街1~30號,鹽埕區,興橋段
買賣,房地(土地+建物),6,1,,3,1,1,Y,公寓(5F含以下無電梯),2000000,,,,N,1081028,,1,42,59.61,住,,,65.94,,鋼筋混凝土造,4,650519,43,二層,,,北端街1~30號,鹽埕區,鹽北段
買賣,房地(土地+建物),1,1,,3,1,1,Y,公寓(5F含以下無電梯),2400000,,,,N,1081130,,1,5,18.82,商,,,97.54,,鋼筋混凝土造,5,701020,38,三層,,,大有街1~30號,鹽埕區,府北段五小段
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,Y,住宅大樓(11F含以上有電梯),9000000,,,,Y,1081127,,1,5,12.31,商,,,147.11,見其它登記事項,見其它登記事項,13,1050803,3,九層,0,24.79,府北路31~60號,鹽埕區,府北段五小段
買賣,房地(土地+建物),2,1,,4,2,2,Y,華廈(10F含以下有電梯),7800000,,,,Y,1081118,,1,35,34.67,住,,,140.6,,鋼筋混凝土造,7,730721,35,一層,,,公園二路1~30號,鹽埕區,大成段
買賣,房地(土地+建物),2,1,,1,1,1,Y,華廈(10F含以下有電梯),1720000,,,,Y,1081030,,1,42,6.77,商,,,48.32,住家用,鋼筋混凝土造,9,830128,26,五層,,,富野路154巷1~30號,鹽埕區,鹽北段
買賣,房地(土地+建物),1,1,,3,2,2,Y,公寓(5F含以下無電梯),2600000,,,,N,1081107,,1,31,29.55,住,,,89.83,,鋼筋混凝土造,5,691007,39,五層,,,安石街31~60號,鹽埕區,興橋段
買賣,房地(土地+建物),1,1,,2,2,2,Y,透天厝,11900000,,,,N,1081025,,1,33,59,商,,,67.38,住商用,見其它登記事項,3,331225,75,一層;二層;三層;騎樓,,,五福四路151~180號,鹽埕區,大勇段
買賣,房地(土地+建物),3,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),1450000,,,,Y,1081208,,1,30,4.25,商,,,31.97,,鋼筋混凝土造,12,711210,37,九層,,,五福四路241~270號,鹽埕區,興福段
買賣,房地(土地+建物),3,1,,1,1,1,Y,套房(1房(1廳)1衛),650000,,,,Y,1080924,,1,5,4.24,商,,,38.68,,鋼筋混凝土造,12,681218,40,七層,,,府北路1~30號,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,1,1,1,Y,套房(1房(1廳)1衛),490000,,,,Y,1081006,,1,5,2.42,商,,,23.43,,鋼筋混凝土造,12,701124,38,八層,,,府北路1~30號,鹽埕區,府北段五小段
買賣,土地,1,,,,,,Y,,7747882,,,,N,1080924,,1,35,64,住,,,,,,,,,,,,大成段151~180地號,鹽埕區,大成段
買賣,房地(土地+建物),2,1,,3,2,2,Y,透天厝,9000000,,,,N,1081013,,1,42,94,商,,,151.42,住商用,見使用執照,2,2705,81,一層;二層;騎樓,,,北端街91~120號,鹽埕區,鹽北段
買賣,建物,,1,,1,1,1,Y,套房(1房(1廳)1衛),300000,,,,Y,1080925,,1,41,,,,,36.34,,鋼筋混凝土造,16,750217,34,七層,,,北斗街1~30號,鹽埕區,鹽壽段
買賣,建物,,1,,1,0,1,Y,套房(1房(1廳)1衛),760000,,,,Y,1081016,,1,41,,,,,34.88,,鋼筋混凝土造,16,750217,34,十二層,,,七賢三路241~270號,鹽埕區,鹽壽段
買賣,土地,1,,,,,,Y,,1820000,,,,N,1081009,,1,38,41,商,,,,,,,,,,,,鹽國段421~450地號,鹽埕區,鹽國段
買賣,建物,,1,,1,1,1,Y,套房(1房(1廳)1衛),270000,,,,Y,1081106,,1,41,,,,,17.98,,鋼筋混凝土造,16,750217,34,十一層,,,七賢三路241~270號,鹽埕區,鹽壽段
買賣,建物,,2,,,,,N,住宅大樓(11F含以上有電梯),323200,,323200,,N,1081106,,1,41,,,,,51.18,,鋼筋混凝土造,16,750217,34,十一層,,,七賢三路241~270號,鹽埕區,鹽壽段
買賣,房地(土地+建物),5,1,,2,1,1,Y,華廈(10F含以下有電梯),5500000,,,,Y,1081128,,1,42,17.27,住,,,84.02,,鋼筋混凝土造,10,701230,38,一層;騎樓,,,北端街61~90號,鹽埕區,鹽北段
買賣,房地(土地+建物),3,1,,1,1,1,Y,套房(1房(1廳)1衛),1200000,720000,480000,,Y,1081125,,1,30,4.49,商,,,33.76,,鋼筋混凝土造,12,711210,37,四層,,,五福四路241~270號,鹽埕區,興福段
買賣,土地,4,,,,,0,Y,,12500000,,,,N,1081109,,1,31,89,商,,,,,,,,,,,,興橋段61~90地號,鹽埕區,興橋段
買賣,房地(土地+建物),1,1,,6,2,1,Y,公寓(5F含以下無電梯),1830000,,,,N,1080906,含增建或未登記建物。,1,31,25.84,住,,,74.66,,鋼筋混凝土造,5,680811,40,五層,,,大仁路260巷1~30號,鹽埕區,興橋段
買賣,土地,1,,,,,,Y,,130830,130830,,,N,1080923,向國有財產署南區分署標售未繼承登記不動產.,1,41,2.67,住,,,,,,,,,,,,鹽壽段91~120地號,鹽埕區,鹽壽段
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,Y,住宅大樓(11F含以上有電梯),14580000,6600000,7980000,,Y,1080930,含裝潢,1,29,15.95,商,,,190.8,見其它登記事項,見其它登記事項,15,1070830,1,三層,0,0,建國四路151~180號,鹽埕區,興仁段
買賣,房地(土地+建物),1,1,,,,,N,公寓(5F含以下無電梯),580000,,,,Y,1080923,商場店面，賣方負擔全部稅`規費。,1,5,2.96,商,,,14.94,,鋼筋混凝土造,5,701020,38,一層,,,鹽埕街134巷1~30號,鹽埕區,府北段五小段
買賣,土地,1,,,,,,Y,,1077120,,,,N,1081007,親友、員工或其他特殊關係間之交易。;建物贈與,1,31,29.92,住,,,,,,,,,,,,興橋段241~270地號,鹽埕區,興橋段
買賣,建物,,1,,3,2,2,Y,透天厝,700000,,,,N,1081013,含增建或未登記建物。;土地為國財局所有,1,35,,,,,54.22,,加強磚造,2,570820,51,一層;二層,,,五福四路63巷1~30號,鹽埕區,大成段
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,Y,住宅大樓(11F含以上有電梯),15000000,6890000,8110000,,Y,1081111,含裝潢,1,29,16.02,商,,,191.7,見其它登記事項,見其它登記事項,15,1070830,1,十五層,0,0,建國四路151~180號,鹽埕區,興仁段
買賣,房地(土地+建物),1,1,,2,2,1,Y,透天厝,3500000,,,,N,1081006,含增建或未登記建物。,1,34,45,住,,,68.38,住家用,加強磚造,2,531231,55,一層;二層,,,五福四路99巷1~30號,鹽埕區,大榮段
